BookingID,ArrivalYear,ArrivalMonth,ArrivalWeekNumber,ArrivalDayOfMonth,ArrivalHour,WeekendStays,WeekdayStays,Adults,Children,Babies,FirstTimeGuest,AffiliatedCustomer,PreviousReservations,PreviousStays,PreviousCancellations,DaysUntilConfirmation,OnlineReservation,BookingChanges,BookingToArrivalDays,ParkingSpacesBooked,SpecialRequests,PartOfGroup,CompanyReservation,OrderedMealsPerDay,FloorReserved,FloorAssigned,DailyRateEuros,DailyRateUSD,%PaidinAdvance,CountryofOriginAvgIncomeEuros (Year-2),CountryofOriginAvgIncomeEuros (Year-1),CountryofOriginHDI (Year-1),Canceled
10423,2016,3,13,21,18.0,1,2,2,0.0,0,1,0,0,0,0,0,1,0,45,0,0,0,1,1,6,3,85.0,84.15,0.0,40141.59,40833.24,0.898,0
14038,2016,4,17,23,16.0,2,4,2,2.0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,1,1,206.0,203.94,0.0,7199.25,7096.6,0.572,1
37179,2016,12,53,28,16.0,0,1,2,0.0,0,1,0,0,0,0,0,1,0,14,0,1,0,1,1,6,6,138.0,136.62,0.0,28742.44,29668.86,0.842,1
15019,2016,4,18,30,15.25,2,5,2,0.0,0,1,0,0,0,0,0,1,2,98,0,0,0,1,1,6,6,109.81,108.7119,0.0,28742.44,29668.86,0.842,0
30385,2016,5,21,17,15.5,0,2,2,0.0,0,1,0,0,0,0,0,0,1,64,0,0,0,1,1,6,5,140.0,138.6,0.0,28742.44,29668.86,0.842,1
25938,2016,8,33,10,14.25,0,2,2,2.0,0,1,0,0,0,0,0,1,0,8,0,2,0,1,1,1,1,240.0,237.6,0.0,36194.87,36909.33,0.876,0
35159,2016,1,5,29,19.75,0,1,1,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,6,6,90.0,89.1,0.0,47011.55,47683.79,0.933,1
12214,2016,3,11,10,22.0,2,3,2,0.0,0,1,0,0,0,0,0,1,0,44,0,1,0,1,1,6,6,80.26,79.4574,0.0,40141.59,40833.24,0.898,0
17245,2016,7,30,23,19.5,2,1,2,1.0,0,1,0,0,0,0,0,1,0,97,0,2,0,1,1,3,3,104.96,103.9104,0.0,28742.44,29668.86,0.842,0
13882,2016,2,8,19,23.5,1,2,1,0.0,0,1,0,0,0,0,0,0,3,4,0,0,0,1,1,6,2,81.0,80.19,0.0,28742.44,29668.86,0.842,0
25610,2016,2,9,26,18.25,0,2,2,1.0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,1,6,3,111.0,109.89,0.0,28742.44,29668.86,0.842,0
17904,2016,12,50,6,18.25,0,3,2,0.0,0,1,0,0,0,0,0,1,2,27,0,1,0,1,2,6,6,142.0,140.58,0.0,36194.87,36909.33,0.876,1
25924,2016,9,37,8,14.0,0,3,2,0.0,0,1,0,0,0,0,0,1,0,61,0,1,0,1,1,3,3,145.4,143.946,0.0,40141.59,40833.24,0.898,0
15619,2016,1,3,10,16.0,2,2,3,0.0,0,1,0,0,0,0,0,1,1,54,0,1,0,1,1,3,3,95.19,94.2381,0.0,44929.69,46213.27,0.913,0
26464,2016,12,52,19,15.75,1,2,1,0.0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,6,6,79.5,78.705,0.0,13446.4,14455.0,0.743,0
27053,2016,6,24,8,16.75,0,2,2,0.0,0,1,0,0,0,0,0,1,0,56,0,0,0,1,1,6,6,113.4,112.266,0.0,34212.94,35436.81,0.901,1
36452,2016,6,26,19,20.0,2,2,2,0.0,0,1,0,0,0,0,0,1,0,140,0,1,0,1,1,3,3,127.71,126.43289999999999,0.0,41259.0,42509.89,0.918,0
